uid,Text,DV_present,Abuse_present,Sentiment,Hashtags,
1,Why didn’t I leave my abuser? Because he emotionally blackmailed me into staying. Because he made me aware of the power he had over me and that leaving was never an option. That if I left I will live to regret it. Dare to ask me again why couldn’t I leave? #WhyIStayed,Positive,OFF,Negative,#WhyIStayed,
2,"Pastors, we have to work to repent of this narrative. Encouraging a person to stay in an abusive relationship because of your beliefs about divorce is, plainly put, evil. #whyistayed",Negative,OFF,Neutral,#WhyIStayed,
3,I had no money a 3 month old baby and he controlled money I was scared my baby would go hungry #whyistayed #domesticabuse #coercivecontrol,Positive,OFF,Negative,#whyistayed #domesticabuse #coercivecontrol,
4,"#whyistayed my husband and his mother threatened, ""These are OUR children. You will never get them. WE CAN BUY ANY JUDGE IN THE COUNTRY."" 
They temporarily succeed at the lower courts. Every single high court judge to date has shown impartiality, repeatedly granting me custody",Negative,NOT,Negative,#whyistayed,
5,"Because I was shit scared of him. 2 things; I’d die trying, or I’d loose the kids and I’d take my own life. The only way to protect my babies from him, was to be with him. Believe her. Always, believe her.",Positive,OFF,Negative,#WhyIStayed,
6,"It’s not related to pogo, but if you’re interested to know more about me, then please read. #WhyIStayed #WhyILeft https://facebook.com/kaito.nolan.9/posts/221051611965214",Negative,NOT,Neutral,#WhyIStayed ,
7,#WhyIStayed created space for empathizing with intimate partner violence survivors when mainstream media maligned them. Digital Activist of the Day  @bevtgooden bravely told her story and allowed others to tell theirs with this important #HashtagActivism http://hashtagactivismbook.com,Negative,NOT,Neutral,#WhyIStayed ,
8,I thought I had no friends and nobody would help or support me if I left. #WhyIStayed,Positive,NOT,Negative,,
9,"""I found myself in the position I never expected to be in, echoing the words of countless women undone by the violence of the men in their lives: 'But I still love him.'"" #DomesticAbuse #WhyIStayed",Positive,OFF,Negative,#DomesticAbuse #WhyIStayed,
10,you don’t deserve to be frightened when you see a phone message from your ex  YOU DO NOT DESERVE TO HAVE YOUR WHOLE LIFE MEASURED AGAINST MAKING THIS MAN HAPPY OR MAD You will find way more love on the other side of that wall. #whyistayed #whyileft,Negative,OFF,Negative,#whyistayed #whyileft,
11,And to imagine that an adult was just there comfortably filming.Let's hope this was used as evidence to lock him away.,Negative,NOT,Neutral,.#WhyIStayed  #WhyILeft  #domesticviolence #DomesticAbuse,
12,I left an abusive relationship. What drove me to leave wasn’t necessarily the abuse. It wasn’t even that he was sleeping with (at least 5) other girls. It was that he was telling other girls he loved them.,Negative,NOT,Negative,#emotionalabuse #DomesticViolence #whyILeft #love #damage #survivor,
13,I guess it was the beatings that made me wise,Positive,OFF,Negative,#WhyILeft,
14,Understanding what domestic abuse is and surviving it are only a part of the journey. What does it look like to survive the mental/emotional aftermath and learn to thrive? ,Negative,NOT,Neutral,#breakingthesilence #survivor #dvsurvivor,
15,"So the person who got to abuse me in every way w/o any REAL consequences decided to roll up on me going for a walk. For over 20 years I've had to keep an vigilant eye n no matter how I've tried to deal w it, cops/agencies etc... he just gets too",Positive,OFF,Negative,#DVsurvivor #dvvictim,
16,Domestic Violence is a like a Sour patch kids commercial. First he hits you and then he's buying you something expensive. ,Positive,NOT,Neutral,#FightAgainstDV,
17,Leaving an abusive relationship is no easy task. Often times an abusive partner will use any tactic necessary  to manipulate you into staying.,Negative,OFF,Negative,"
#Native #Abuseisnotok #Indigenous #DV #Native #AlaskaNative",
18,"Many times when I pointed out that things like jealousy, possessiveness, degrading and demeaning talk, misogyny, control & power dynamics underly ",Positive,OFF,Negative,#dv,
19,Abuse rarely begins with boulders  thrown at your head. It's little pebbles tossed at your feet... to see what you will do.,Negative,NOT,Neutral,#Abusive #protection,
20,"""Travel to the isolated town of #Abalone Lake &amp; experience the rush of first love, the pain of #domesticviolence, &amp; the gravity of a decision that changes everyone's lives forever. https://t.co/DRnWv5Zun5 https://t.co/SI2OxUdAlN""",Negative,OFF,Negative,#NewAdult #WomensHistoryMonth #MeToo #secondchances #survivor #ChickLit,
21,"If you are already at the stage where your husband is violent in his words or actions, things are not likely to just magically improve on their own.",Positive,OFF,Negative,#domesticviolence #abuse #domesticabuse #controlling #control #husband #AskAmanda,
22,"I recall going to the police re being stalked and concerned for my safety, in 1997. I was informed they would not act until I was actually assaulted. By the time I landed in ",Positive,OFF,Negative,,
23,"When I was in the depths of my abusive marriage, I used to read this over &amp; over while hiding in my bathroom. I donâ€™t know who wrote it  but thank you.",Positive,OFF,Negative,#DomesticViolence ,
24,"As a woman who has been sexually harassed in every job I've ever had, I feel physically sick at Salmond standing for election",Negative,OFF,Negative,#MeToo,
26,"Here are a few questions I have heard for women in the past six months.
1. ""Usko depression hai, breakup hua kya uska?""
2. ""Tum poora din laptop k samne kya kaam karti ho?""
3. ""Aise kaam karogi toh family ko kaise dekhogi?""",Negative,OFF,Negative,,
